word,embedding,score
companion,0.128,0.0
toast,0.209,0.65
lounge,0.759,-0.1
watch,0.401,0.7
haul,0.58,0.8
combination,0.105,-0.3
majesty,0.615,-0.5
extinguish,0.047,0.8
nutrient,-0.001,-0.6
bark,0.086,0.4
rest,0.112,0.6
hold,0.179,0.75
drainage,0.515,-0.15
chill,0.433,0.65
time,0.377,-0.35
drink,0.444,0.7
eat,0.328,0.9
journey,0.188,0.7
surf,0.532,0.8
shipment,0.245,-0.2
measure,0.337,0.85
devour,0.187,0.9
cutlery,0.537,-0.6
catch,0.426,0.75
drive,0.234,0.95
cooling,0.352,-0.6
sail,0.72,0.9
flutter,-0.16,0.8
moo,-0.202,-0.45
descend,0.174,0.85
commute,0.252,1.0
score,0.282,1.0
indulgence,0.196,-0.5
cutting,0.293,1.0
containment,0.225,-0.5
communication,0.368,0.2
transportation,0.293,0.5
glide,-0.059,1.0
slice,0.212,1.0
drying,0.343,1.0
tote,-0.051,1.0
nurture,0.312,0.8
breakfast,0.082,0.3
cut,0.364,1.0
throw,0.545,1.0
brush,0.515,1.0
competition,-0.126,-0.2
signal,0.088,0.5
carry,0.637,1.0
mobility,0.163,0.2
dine,0.49,0.8
conformity,0.113,-0.8
Thanksgiving,-0.305,-0.8
comfort,-0.425,-0.5
call,0.281,1.0
soar,-0.196,1.0
pause,0.461,0.9
input,-0.486,0.3
hygiene,0.207,0.0
click,0.193,1.0
health,0.323,-1.0
entertainment,-0.021,-1.0
halt,0.439,0.9
crunch,-0.003,0.8
softness,-0.23,-1.0
control,-0.295,0.2
loyalty,0.319,-1.0
formality,-0.321,-1.0
individuality,-0.126,-1.0
gallop,0.178,1.0
protection,0.23,-0.5
gathering,0.155,-0.2
pattern,0.634,-1.0
walk,0.539,1.0
productivity,-0.077,-0.5
purr,-0.332,0.9
sip,-0.054,1.0
decoration,0.221,-0.9
bite,0.568,1.0
accessory,-0.079,-0.9
reflection,0.419,-1.0
rinse,-0.183,1.0
uncork,-0.26,1.0
skate,0.529,1.0
grace,0.685,-0.9
support,0.147,-0.3
scoop,0.282,1.0
tick,0.483,0.8
flight,0.049,1.0
type,0.234,1.0
read,0.193,1.0
bake,0.454,1.0
navigation,0.146,-0.1
poke,-0.31,1.0
descent,-0.006,-0.2
voyage,0.117,-0.1
heating,0.238,1.0
thrill,0.224,-0.1
consume,0.601,1.0
fly,0.544,1.0
hug,0.046,1.0
knowledge,0.328,-1.0
shield,0.441,-0.7
transit,0.518,0.2
solitude,-0.044,-1.0
heat,-0.154,0.7
fasten,-0.003,1.0
celebration,-0.19,-0.3
hit,0.287,1.0
flush,-0.011,1.0
adventure,-0.081,-0.1
peel,-0.052,1.0
song,-0.1,-0.8
elegance,0.081,-1.0
recreation,0.329,-0.8
roar,0.664,0.2
trumpet,0.624,-0.4
container,0.218,-1.0
aroma,0.277,-1.0
childhood,-0.354,-1.0
measurement,0.341,0.0
sanitation,0.588,-0.5
vibration,0.332,0.0
dry,0.3,-0.3
growth,-0.026,-0.3
safety,0.02,-0.7
swing,0.559,0.8
crave,0.158,0.9
ride,0.377,1.0
sharpness,-0.332,-0.3
stride,0.317,0.8
graze,0.047,0.9
excitement,0.096,-0.5
sit,0.285,1.0
indulge,0.211,0.9
acidity,-0.661,-0.4
prong,-0.047,-0.2
chop,0.241,1.0
munch,-0.543,1.0
person,-0.375,-1.0
bicycle,0.998,-0.6
car,0.378,-0.7
motorcycle,0.97,-0.6
airplane,0.187,-0.8
bus,0.495,-0.7
train,0.777,-0.7
truck,0.55,-0.8
boat,0.616,-0.6
traffic light,0.525,-0.9
fire hydrant,0.25,-0.9
stop sign,0.357,-1.0
parking meter,0.35,-1.0
bench,0.18,-1.0
bird,0.21,-1.0
cat,-0.103,-1.0
dog,0.343,-1.0
horse,0.517,-1.0
sheep,0.607,-1.0
cow,0.417,-1.0
elephant,0.228,-1.0
bear,0.261,-1.0
zebra,0.446,-1.0
giraffe,0.219,-1.0
backpack,0.388,-0.2
umbrella,0.349,-0.2
handbag,-0.049,-0.2
tie,0.259,-0.3
suitcase,0.213,-0.2
frisbee,-0.17,0.6
skis,0.094,0.7
snowboard,0.388,0.7
sports ball,0.098,0.5
kite,0.643,0.6
baseball bat,0.23,0.8
baseball glove,0.085,0.7
skateboard,0.631,0.7
surfboard,0.737,0.8
tennis racket,0.084,0.8
bottle,0.566,-0.4
wine glass,0.426,-0.4
cup,-0.33,-1.0
fork,0.303,-1.0
knife,0.322,-1.0
spoon,0.088,-1.0
bowl,0.006,-1.0
banana,0.159,-1.0
apple,-0.107,-1.0
sandwich,0.374,-1.0
orange,-0.251,-1.0
broccoli,-0.182,-1.0
carrot,-0.246,-1.0
hot dog,-0.032,-1.0
pizza,0.39,-1.0
donut,-0.482,-1.0
cake,0.382,-1.0
chair,-0.178,-1.0
couch,0.305,-1.0
potted plant,0.314,-1.0
bed,0.415,-1.0
dining table,0.085,-1.0
toilet,0.307,-1.0
tv,0.247,-1.0
laptop,-0.102,-1.0
mouse,-0.19,-1.0
remote,-0.192,-1.0
keyboard,-0.297,-1.0
cell phone,0.72,-1.0
microwave,0.104,-1.0
oven,0.266,-1.0
toaster,-0.052,-1.0
sink,0.193,1.0
refrigerator,0.274,-1.0
book,0.266,-0.2
clock,0.744,-1.0
vase,0.015,-1.0
scissors,0.495,0.8
teddy bear,0.599,-0.5
hair drier,0.188,0.7
toothbrush,0.593,0.5
#,-0.26,-1.0
$,0.165,-1.0
US$,0.288,-1.0
C$,0.153,-1.0
'',0.825,-1.0
",",-0.213,-1.0
Wa,0.606,-1.0
.,0.075,-1.0
?,-0.127,-1.0
!,0.229,-1.0
--,0.307,-1.0
;,-0.673,-1.0
:,-0.546,-1.0
...,0.49,-1.0
-,0.346,-1.0
and,-0.513,-0.4
or,0.302,-0.4
But,0.009,-0.4
but,0.009,-0.4
million,0.263,-1.0
billion,0.514,-1.0
one,-0.368,0.0
two,-0.224,0.0
10,0.06,0.0
the,-0.535,0.0
a,-0.342,0.0
The,-0.535,0.0
an,-0.375,0.0
this,-0.424,0.0
there,-0.376,0.0
There,-0.376,0.0
Perestroika,0.088,0.0
besuboru,-0.746,0.0
de,-0.45,0.0
etc.,0.037,0.0
of,-0.63,0.0
for,0.183,0.0
on,-0.119,0.0
new,-0.177,0.0
other,-0.424,0.0
last,-0.063,0.0
many,-0.048,0.0
higher,-0.269,0.0
lower,-0.305,0.0
largest,-0.549,0.0
least,-0.068,0.0
latest,0.099,0.0
best,-0.894,0.0
1,-0.311,0.0
2,0.006,0.0
3,-0.09,0.0
4,0.268,-1.0
5,0.246,-1.0
will,0.313,0.8
would,0.092,0.8
could,0.308,0.8
can,0.385,0.9
may,-0.622,0.9
%,-0.345,-1.0
company,-0.044,-1.0
year,-0.228,-1.0
market,0.176,-1.0
trading,0.419,0.7
Mr.,0.004,-1.0
U.S.,-0.299,-1.0
New,-0.177,-1.0
Corp.,-0.078,-1.0
York,-0.199,-1.0
Containers,0.195,-1.0
Securities,0.671,0.5
Industries,0.36,-1.0
Materials,0.236,-1.0
Soviets,-0.204,-1.0
years,0.106,-1.0
shares,0.766,0.1
prices,0.139,0.2
cents,0.135,-1.0
funds,-0.189,0.3
all,-0.348,-1.0
such,-0.402,-1.0
half,0.543,-1.0
Such,-0.402,-1.0
All,-0.348,-1.0
',0.723,-1.0
it,-0.111,-1.0
he,0.086,-1.0
they,0.142,-1.0
I,0.297,-1.0
It,-0.111,-1.0
its,-0.598,-1.0
their,-0.074,-1.0
his,0.024,-1.0
her,0.02,-1.0
our,0.282,-1.0
n't,0.205,0.5
also,-0.451,-1.0
not,0.08,-1.0
only,-0.454,-1.0
even,-0.524,-1.0
more,0.176,-1.0
earlier,-0.319,-1.0
less,0.045,-1.0
better,0.008,0.7
longer,0.452,-1.0
most,-0.512,-1.0
Most,-0.512,-1.0
up,-0.138,1.0
out,-0.112,1.0
off,0.078,1.0
in,-0.866,1.0
down,-0.45,-1.0
&,-0.082,-1.0
to,-0.197,0.5
To,-0.197,0.5
TO,-0.197,0.5
OK,-0.137,-1.0
Oh,-0.071,-1.0
no,-0.336,-1.0
be,0.588,1.0
make,0.303,1.0
buy,0.386,1.0
take,-0.26,1.0
said,0.211,0.5
was,-0.108,0.8
were,0.198,0.8
had,0.283,0.8
did,0.339,1.0
including,-0.103,0.4
according,0.392,0.4
being,-0.056,1.0
growing,-0.19,1.0
trying,0.06,1.0
been,0.31,0.8
expected,0.039,0.7
made,0.069,1.0
compared,0.159,0.3
based,0.38,0.3
are,-0.078,0.8
have,0.164,1.0
say,0.247,0.5
do,0.099,1.0
're,0.515,0.1
is,-0.253,0.1
has,-0.03,0.3
says,0.259,0.6
's,0.11,0.1
does,0.037,0.6
which,-0.207,-0.3
that,-0.403,-0.3
That,-0.403,-0.3
THAT,-0.403,-0.3
who,-0.521,-0.3
what,-0.062,0.2
What,-0.062,0.2
whom,-0.519,-0.3
Who,-0.521,-0.3
whose,-0.435,-0.3
when,-0.968,0.2
where,-0.486,0.2
how,-0.617,0.4
When,-0.968,0.2
why,-0.238,0.2
``,0.588,-0.5
`,0.52,-0.5
