word,embedding,score
companion,0.128,0.2
toast,0.209,1.0
lounge,0.759,1.0
watch,0.401,1.0
haul,0.58,1.0
combination,0.105,-0.4
majesty,0.615,-0.8
extinguish,0.047,-0.2
nutrient,-0.001,0.8
bark,0.086,0.8
rest,0.112,-0.2
hold,0.179,0.4
drainage,0.515,1.0
chill,0.433,-0.1
time,0.377,-1.0
drink,0.444,0.6
eat,0.328,0.7
journey,0.188,-0.4
surf,0.532,-0.3
shipment,0.245,1.0
measure,0.337,-0.7
devour,0.187,0.4
cutlery,0.537,1.0
catch,0.426,0.5
drive,0.234,0.6
cooling,0.352,-0.2
sail,0.72,-0.2
flutter,-0.16,-0.3
moo,-0.202,1.0
descend,0.174,0.3
commute,0.252,0.5
score,0.282,-0.4
indulgence,0.196,-0.9
cutting,0.293,0.2
containment,0.225,0.3
communication,0.368,-0.8
transportation,0.293,0.6
glide,-0.059,0.4
slice,0.212,0.2
drying,0.343,0.2
tote,-0.051,0.7
nurture,0.312,-0.7
breakfast,0.082,0.8
cut,0.364,0.1
throw,0.545,0.1
brush,0.515,0.8
competition,-0.126,-0.9
signal,0.088,-0.1
carry,0.637,0.7
mobility,0.163,0.6
dine,0.49,0.3
conformity,0.113,-0.9
Thanksgiving,-0.305,0.8
comfort,-0.425,-0.1
call,0.281,-0.4
soar,-0.196,0.4
pause,0.461,-0.1
input,-0.486,-0.1
hygiene,0.207,0.6
click,0.193,0.5
health,0.323,-0.8
entertainment,-0.021,-0.7
halt,0.439,0.6
crunch,-0.003,0.7
softness,-0.23,-0.7
control,-0.295,-0.6
loyalty,0.319,-0.9
formality,-0.321,-0.7
individuality,-0.126,-0.9
gallop,0.178,0.5
protection,0.23,-0.5
gathering,0.155,-0.2
pattern,0.634,-0.2
walk,0.539,0.6
productivity,-0.077,-0.8
purr,-0.332,0.5
sip,-0.054,0.5
decoration,0.221,0.9
bite,0.568,0.7
accessory,-0.079,0.9
reflection,0.419,-0.2
rinse,-0.183,0.6
uncork,-0.26,0.7
skate,0.529,0.8
grace,0.685,-0.3
support,0.147,-0.5
scoop,0.282,0.7
tick,0.483,0.6
flight,0.049,0.5
type,0.234,0.4
read,0.193,0.1
bake,0.454,0.2
navigation,0.146,0.4
poke,-0.31,0.3
descent,-0.006,-0.4
voyage,0.117,-0.2
heating,0.238,0.2
thrill,0.224,-0.8
consume,0.601,0.1
fly,0.544,0.2
hug,0.046,0.2
knowledge,0.328,-0.9
shield,0.441,0.8
transit,0.518,-0.1
solitude,-0.044,-0.9
heat,-0.154,0.2
fasten,-0.003,0.5
celebration,-0.19,-0.7
hit,0.287,0.3
flush,-0.011,0.4
adventure,-0.081,-0.6
peel,-0.052,0.4
song,-0.1,-0.3
elegance,0.081,-0.8
recreation,0.329,-0.6
roar,0.664,0.3
trumpet,0.624,0.6
container,0.218,0.9
aroma,0.277,0.1
childhood,-0.354,-0.9
measurement,0.341,0.1
sanitation,0.588,0.6
vibration,0.332,0.3
dry,0.3,0.5
growth,-0.026,-0.5
safety,0.02,-0.4
swing,0.559,0.1
crave,0.158,-0.3
ride,0.377,0.2
sharpness,-0.332,0.3
stride,0.317,0.2
graze,0.047,0.2
excitement,0.096,-0.5
sit,0.285,0.1
indulge,0.211,-0.3
acidity,-0.661,0.2
prong,-0.047,0.6
chop,0.241,0.2
munch,-0.543,0.3
person,-0.375,0.6
bicycle,0.998,0.9
car,0.378,0.9
motorcycle,0.97,0.9
airplane,0.187,0.9
bus,0.495,0.9
train,0.777,0.9
truck,0.55,0.9
boat,0.616,0.9
traffic light,0.525,0.9
fire hydrant,0.25,0.9
stop sign,0.357,1.0
parking meter,0.35,1.0
bench,0.18,1.0
bird,0.21,1.0
cat,-0.103,1.0
dog,0.343,1.0
horse,0.517,1.0
sheep,0.607,1.0
cow,0.417,1.0
elephant,0.228,1.0
bear,0.261,1.0
zebra,0.446,1.0
giraffe,0.219,1.0
backpack,0.388,1.0
umbrella,0.349,1.0
handbag,-0.049,1.0
tie,0.259,1.0
suitcase,0.213,1.0
frisbee,-0.17,1.0
skis,0.094,1.0
snowboard,0.388,1.0
sports ball,0.098,1.0
kite,0.643,1.0
baseball bat,0.23,1.0
baseball glove,0.085,1.0
skateboard,0.631,1.0
surfboard,0.737,1.0
tennis racket,0.084,1.0
bottle,0.566,1.0
wine glass,0.426,1.0
cup,-0.33,1.0
fork,0.303,1.0
knife,0.322,1.0
spoon,0.088,1.0
bowl,0.006,1.0
banana,0.159,1.0
apple,-0.107,1.0
sandwich,0.374,1.0
orange,-0.251,1.0
broccoli,-0.182,1.0
carrot,-0.246,1.0
hot dog,-0.032,1.0
pizza,0.39,1.0
donut,-0.482,1.0
cake,0.382,1.0
chair,-0.178,1.0
couch,0.305,1.0
potted plant,0.314,1.0
bed,0.415,1.0
dining table,0.085,1.0
toilet,0.307,1.0
tv,0.247,1.0
laptop,-0.102,1.0
mouse,-0.19,1.0
remote,-0.192,1.0
keyboard,-0.297,1.0
cell phone,0.72,1.0
microwave,0.104,1.0
oven,0.266,1.0
toaster,-0.052,1.0
sink,0.193,1.0
refrigerator,0.274,1.0
book,0.266,1.0
clock,0.744,1.0
vase,0.015,1.0
scissors,0.495,1.0
teddy bear,0.599,1.0
hair drier,0.188,1.0
toothbrush,0.593,1.0
#,-0.26,0.0
$,0.165,0.0
US$,0.288,0.0
C$,0.153,0.0
'',0.825,0.0
",",-0.213,0.0
Wa,0.606,0.0
.,0.075,0.0
?,-0.127,0.0
!,0.229,0.0
--,0.307,0.0
;,-0.673,0.0
:,-0.546,0.0
...,0.49,0.0
-,0.346,0.0
and,-0.513,0.0
or,0.302,0.0
But,0.009,0.0
but,0.009,0.0
million,0.263,-0.5
billion,0.514,-0.5
one,-0.368,0.0
two,-0.224,0.0
10,0.06,0.0
the,-0.535,0.0
a,-0.342,0.0
The,-0.535,0.0
an,-0.375,0.0
this,-0.424,0.0
there,-0.376,0.0
There,-0.376,0.0
Perestroika,0.088,-0.2
besuboru,-0.746,0.0
de,-0.45,-0.1
etc.,0.037,-0.1
of,-0.63,0.0
for,0.183,0.0
on,-0.119,0.0
new,-0.177,-0.4
other,-0.424,-0.4
last,-0.063,-0.3
many,-0.048,-0.3
higher,-0.269,-0.4
lower,-0.305,-0.4
largest,-0.549,0.2
least,-0.068,-0.4
latest,0.099,-0.4
best,-0.894,-0.5
1,-0.311,0.0
2,0.006,0.0
3,-0.09,0.0
4,0.268,0.9
5,0.246,0.9
will,0.313,-0.9
would,0.092,-0.9
could,0.308,-0.9
can,0.385,-0.9
may,-0.622,-0.9
%,-0.345,0.9
company,-0.044,0.9
year,-0.228,0.2
market,0.176,0.1
trading,0.419,0.2
Mr.,0.004,0.7
U.S.,-0.299,0.3
New,-0.177,0.1
Corp.,-0.078,0.9
York,-0.199,0.1
Containers,0.195,0.9
Securities,0.671,0.9
Industries,0.36,0.9
Materials,0.236,0.9
Soviets,-0.204,0.9
years,0.106,0.2
shares,0.766,0.1
prices,0.139,0.2
cents,0.135,0.9
funds,-0.189,-0.2
all,-0.348,-1.0
such,-0.402,-0.8
half,0.543,0.9
Such,-0.402,0.0
All,-0.348,0.0
',0.723,0.0
it,-0.111,0.0
he,0.086,0.0
they,0.142,0.0
I,0.297,0.0
It,-0.111,0.0
its,-0.598,0.0
their,-0.074,0.0
his,0.024,0.0
her,0.02,0.0
our,0.282,0.0
n't,0.205,0.0
also,-0.451,0.0
not,0.08,0.0
only,-0.454,0.0
even,-0.524,0.0
more,0.176,0.0
earlier,-0.319,0.0
less,0.045,0.0
better,0.008,0.0
longer,0.452,0.0
most,-0.512,0.0
Most,-0.512,0.0
up,-0.138,0.0
out,-0.112,0.0
off,0.078,0.0
in,-0.866,0.0
down,-0.45,0.0
&,-0.082,-1.0
to,-0.197,-1.0
To,-0.197,-1.0
TO,-0.197,-1.0
OK,-0.137,-0.5
Oh,-0.071,-0.5
no,-0.336,-0.5
be,0.588,-1.0
make,0.303,-0.8
buy,0.386,0.0
take,-0.26,-0.2
said,0.211,-0.5
was,-0.108,-1.0
were,0.198,-1.0
had,0.283,-1.0
did,0.339,-0.8
including,-0.103,-1.0
according,0.392,-1.0
being,-0.056,-1.0
growing,-0.19,-0.7
trying,0.06,-1.0
been,0.31,-1.0
expected,0.039,-0.7
made,0.069,-0.5
compared,0.159,-0.7
based,0.38,-1.0
are,-0.078,-1.0
have,0.164,-1.0
say,0.247,-1.0
do,0.099,-1.0
're,0.515,0.0
is,-0.253,0.0
has,-0.03,0.0
says,0.259,0.0
's,0.11,0.0
does,0.037,0.0
which,-0.207,0.0
that,-0.403,0.0
That,-0.403,0.0
THAT,-0.403,0.0
who,-0.521,0.0
what,-0.062,0.0
What,-0.062,0.0
whom,-0.519,0.0
Who,-0.521,0.0
whose,-0.435,0.0
when,-0.968,0.0
where,-0.486,0.0
how,-0.617,0.0
When,-0.968,0.0
why,-0.238,0.0
``,0.588,0.0
`,0.52,0.0
