word,embedding,score,diff
companion,0.12,0.0,0.12
toast,0.191,0.7,0.509
lounge,0.115,-0.2,0.315
watch,0.118,0.6,0.482
haul,0.106,0.7,0.594
combination,0.519,-0.1,0.619
majesty,-0.074,-0.7,0.626
extinguish,0.437,0.8,0.363
nutrient,0.253,-0.5,0.753
bark,0.142,0.5,0.358
rest,0.336,-0.2,0.536
hold,0.6,0.6,0.0
drainage,0.556,-0.2,0.756
chill,0.34,0.2,0.14
time,0.23,-0.6,0.83
drink,0.429,0.7,0.271
eat,0.453,0.9,0.447
journey,0.15,0.8,0.65
surf,0.231,0.8,0.569
shipment,0.146,0.5,0.354
measure,0.572,0.2,0.372
devour,0.524,0.9,0.376
cutlery,0.11,-0.3,0.41
catch,0.338,0.7,0.362
drive,0.469,0.8,0.331
cooling,0.552,-0.4,0.952
sail,0.3,0.9,0.6
flutter,0.409,0.6,0.191
moo,0.223,0.3,0.077
descend,0.267,0.8,0.533
commute,0.296,0.9,0.604
score,0.778,0.8,0.022
indulgence,0.007,-0.7,0.707
cutting,0.45,0.8,0.35
containment,0.276,-0.6,0.876
communication,0.328,0.6,0.272
transportation,0.457,0.8,0.343
glide,0.356,0.7,0.344
slice,0.251,0.8,0.549
drying,0.257,0.7,0.443
tote,0.092,0.7,0.608
nurture,0.129,0.6,0.471
breakfast,0.338,0.5,0.162
cut,0.365,0.8,0.435
throw,0.217,0.9,0.683
brush,0.205,0.7,0.495
competition,-0.197,0.8,0.997
signal,0.421,0.7,0.279
carry,0.321,0.8,0.479
mobility,0.313,0.4,0.087
dine,0.358,0.6,0.242
conformity,0.693,-0.8,1.493
Thanksgiving,0.414,-0.1,0.514
comfort,0.322,-0.7,1.022
call,0.408,0.8,0.392
soar,0.279,0.7,0.421
pause,0.027,-0.1,0.127
input,0.48,0.4,0.08
hygiene,0.157,0.2,0.043
click,0.089,0.7,0.611
health,0.651,0.1,0.551
entertainment,0.454,0.0,0.454
halt,0.254,0.6,0.346
crunch,0.313,0.6,0.287
softness,0.084,-0.9,0.984
control,0.615,0.0,0.615
loyalty,0.326,-0.8,1.126
formality,0.41,-0.7,1.11
individuality,0.358,-0.7,1.058
gallop,0.039,0.8,0.761
protection,0.11,-0.5,0.61
gathering,0.264,0.2,0.064
pattern,0.328,-0.5,0.828
walk,0.404,0.7,0.296
productivity,0.361,-0.2,0.561
purr,-0.024,0.5,0.524
sip,0.447,0.5,0.053
decoration,0.217,-0.1,0.317
bite,0.309,0.7,0.391
accessory,-0.013,-0.1,0.087
reflection,0.401,-0.8,1.201
rinse,0.706,0.5,0.206
uncork,0.188,0.8,0.612
skate,0.233,0.8,0.567
grace,0.41,-0.7,1.11
support,0.538,-0.3,0.838
scoop,0.171,0.8,0.629
tick,0.305,0.4,0.095
flight,0.61,0.9,0.29
type,0.255,0.6,0.345
read,0.303,1.0,0.697
bake,0.103,1.0,0.897
navigation,0.463,-0.5,0.963
poke,0.092,0.7,0.608
descent,0.748,0.5,0.248
voyage,0.495,1.0,0.505
heating,0.554,-0.2,0.754
thrill,0.122,0.1,0.022
consume,0.228,1.0,0.772
fly,0.377,1.0,0.623
hug,0.284,1.0,0.716
knowledge,0.24,-1.0,1.24
shield,0.182,-0.7,0.882
transit,0.414,0.5,0.086
solitude,0.108,-1.0,1.108
heat,0.476,-0.2,0.676
fasten,0.335,0.8,0.465
celebration,0.214,0.2,0.014
hit,0.582,1.0,0.418
flush,0.375,0.8,0.425
adventure,0.215,1.0,0.785
peel,0.293,1.0,0.707
song,0.329,-0.2,0.529
elegance,0.155,-1.0,1.155
recreation,0.395,0.2,0.195
roar,0.009,0.9,0.891
trumpet,-0.027,0.5,0.527
container,0.388,-0.7,1.088
aroma,0.061,-0.5,0.561
childhood,0.351,-1.0,1.351
measurement,0.62,0.5,0.12
sanitation,0.416,0.3,0.116
vibration,0.191,0.2,0.009
dry,0.484,-0.2,0.684
growth,0.431,-0.5,0.931
safety,0.256,-0.7,0.956
swing,0.351,0.8,0.449
crave,0.421,0.9,0.479
ride,0.334,1.0,0.666
sharpness,0.364,-0.6,0.964
stride,0.144,0.7,0.556
graze,0.168,0.6,0.432
excitement,0.353,-0.3,0.653
sit,0.435,-0.1,0.535
indulge,0.062,0.4,0.338
acidity,0.965,-0.8,1.765
prong,0.324,0.3,0.024
chop,0.276,0.85,0.574
munch,0.316,0.7,0.384
person,0.427,-0.9,1.327
bicycle,0.28,-0.4,0.68
car,0.498,-0.4,0.898
motorcycle,0.195,-0.4,0.595
airplane,0.598,-0.4,0.998
bus,0.465,-0.4,0.865
train,0.513,-0.4,0.913
truck,0.266,-0.4,0.666
boat,0.569,-0.4,0.969
traffic light,0.214,-0.7,0.914
fire hydrant,0.492,-0.9,1.392
stop sign,-0.203,0.0,0.203
parking meter,0.464,-0.2,0.664
bench,0.022,-0.2,0.222
bird,0.313,0.0,0.313
cat,0.364,0.0,0.364
dog,0.145,0.0,0.145
horse,0.151,0.0,0.151
sheep,0.346,0.0,0.346
cow,0.305,0.0,0.305
elephant,0.118,0.0,0.118
bear,0.098,0.0,0.098
zebra,-0.018,0.0,0.018
giraffe,0.32,0.0,0.32
backpack,0.076,-0.2,0.276
umbrella,0.095,-0.2,0.295
handbag,0.106,-0.2,0.306
tie,0.692,-0.2,0.892
suitcase,0.153,-0.2,0.353
frisbee,0.338,0.7,0.362
skis,0.33,0.8,0.47
snowboard,-0.092,0.8,0.892
sports ball,0.351,0.8,0.449
kite,0.348,0.7,0.352
baseball bat,0.381,0.7,0.319
baseball glove,0.289,0.6,0.311
skateboard,0.093,0.8,0.707
surfboard,0.04,0.8,0.76
tennis racket,0.418,0.7,0.282
bottle,0.131,-0.2,0.331
wine glass,0.516,-0.2,0.716
cup,0.439,-1.0,1.439
fork,0.396,-1.0,1.396
knife,0.377,-0.9,1.277
spoon,0.233,-1.0,1.233
bowl,0.35,-1.0,1.35
banana,0.325,-1.0,1.325
apple,0.455,-1.0,1.455
sandwich,0.215,-0.5,0.715
orange,0.246,-1.0,1.246
broccoli,0.332,-1.0,1.332
carrot,0.26,-1.0,1.26
hot dog,0.095,-0.5,0.595
pizza,0.28,-0.5,0.78
donut,0.388,-0.7,1.088
cake,0.292,-0.7,0.992
chair,0.343,-1.0,1.343
couch,0.192,-1.0,1.192
potted plant,0.479,-0.8,1.279
bed,0.398,-1.0,1.398
dining table,0.493,-1.0,1.493
toilet,0.299,-0.8,1.099
tv,0.334,-0.9,1.234
laptop,0.397,-0.8,1.197
mouse,0.362,-0.7,1.062
remote,0.303,-0.7,1.003
keyboard,0.353,-0.7,1.053
cell phone,0.377,-0.6,0.977
