word,embedding,score
companion,0.128,0.1
toast,0.209,0.9
lounge,0.759,0.4
watch,0.401,0.9
haul,0.58,0.4
combination,0.105,-0.2
majesty,0.615,-0.7
extinguish,0.047,0.3
nutrient,-0.001,0.8
bark,0.086,0.8
rest,0.112,-0.1
hold,0.179,0.3
drainage,0.515,0.8
chill,0.433,0.2
time,0.377,-0.9
drink,0.444,0.6
eat,0.328,0.8
journey,0.188,-0.5
surf,0.532,0.6
shipment,0.245,0.8
measure,0.337,-0.3
devour,0.187,0.7
cutlery,0.537,0.9
catch,0.426,0.3
drive,0.234,0.4
cooling,0.352,0.7
sail,0.72,-0.5
flutter,-0.16,0.1
moo,-0.202,0.9
descend,0.174,0.4
commute,0.252,0.5
score,0.282,-0.5
indulgence,0.196,-0.9
cutting,0.293,0.3
containment,0.225,0.5
communication,0.368,-0.7
transportation,0.293,0.8
glide,-0.059,0.2
slice,0.212,0.0
drying,0.343,0.5
tote,-0.051,0.8
nurture,0.312,-0.8
breakfast,0.082,0.9
cut,0.364,0.3
throw,0.545,0.4
brush,0.515,0.8
competition,-0.126,-0.7
signal,0.088,0.0
carry,0.637,0.9
mobility,0.163,0.8
dine,0.49,0.9
conformity,0.113,-0.9
Thanksgiving,-0.305,0.9
comfort,-0.425,-0.2
call,0.281,0.0
soar,-0.196,-0.2
pause,0.461,-0.1
input,-0.486,0.0
hygiene,0.207,0.6
click,0.193,0.4
health,0.323,-0.9
entertainment,-0.021,-0.6
halt,0.439,0.1
crunch,-0.003,0.3
softness,-0.23,-0.8
control,-0.295,-0.9
loyalty,0.319,-0.95
formality,-0.321,-0.9
individuality,-0.126,-0.95
gallop,0.178,0.1
protection,0.23,-0.85
gathering,0.155,-0.1
pattern,0.634,-0.6
walk,0.539,0.1
productivity,-0.077,-0.8
purr,-0.332,0.2
sip,-0.054,0.1
decoration,0.221,0.7
bite,0.568,0.2
accessory,-0.079,0.9
reflection,0.419,0.1
rinse,-0.183,0.3
uncork,-0.26,0.1
skate,0.529,0.2
grace,0.685,-0.85
support,0.147,-0.85
scoop,0.282,0.3
tick,0.483,0.2
flight,0.049,0.05
type,0.234,0.1
read,0.193,0.0
bake,0.454,0.0
navigation,0.146,0.0
poke,-0.31,0.0
descent,-0.006,-0.2
voyage,0.117,-0.2
heating,0.238,0.0
thrill,0.224,-0.8
consume,0.601,-0.2
fly,0.544,0.0
hug,0.046,0.0
knowledge,0.328,-1.0
shield,0.441,0.8
transit,0.518,-0.2
solitude,-0.044,-1.0
heat,-0.154,0.0
fasten,-0.003,0.0
celebration,-0.19,-1.0
hit,0.287,0.0
flush,-0.011,0.0
adventure,-0.081,-0.8
peel,-0.052,0.0
song,-0.1,-0.8
elegance,0.081,-1.0
recreation,0.329,-0.8
roar,0.664,-0.2
trumpet,0.624,-0.2
container,0.218,0.9
aroma,0.277,-0.5
childhood,-0.354,-1.0
measurement,0.341,0.0
sanitation,0.588,-0.2
vibration,0.332,0.0
dry,0.3,-0.5
growth,-0.026,-0.7
safety,0.02,-0.5
swing,0.559,0.1
crave,0.158,-0.8
ride,0.377,0.0
sharpness,-0.332,0.0
stride,0.317,-0.1
graze,0.047,0.1
excitement,0.096,-0.9
sit,0.285,-0.2
indulge,0.211,-0.8
acidity,-0.661,0.0
prong,-0.047,0.5
chop,0.241,0.3
munch,-0.543,0.2
person,-0.375,0.7
bicycle,0.998,0.9
car,0.378,0.9
motorcycle,0.97,0.9
airplane,0.187,0.9
bus,0.495,0.9
train,0.777,0.9
truck,0.55,0.9
boat,0.616,0.9
traffic light,0.525,0.9
fire hydrant,0.25,0.9
stop sign,0.357,1.0
parking meter,0.35,1.0
bench,0.18,1.0
bird,0.21,1.0
cat,-0.103,1.0
dog,0.343,1.0
horse,0.517,1.0
sheep,0.607,1.0
cow,0.417,1.0
elephant,0.228,1.0
bear,0.261,1.0
zebra,0.446,1.0
giraffe,0.219,1.0
backpack,0.388,1.0
umbrella,0.349,1.0
handbag,-0.049,1.0
tie,0.259,1.0
suitcase,0.213,1.0
frisbee,-0.17,1.0
skis,0.094,1.0
snowboard,0.388,1.0
sports ball,0.098,1.0
kite,0.643,1.0
baseball bat,0.23,1.0
baseball glove,0.085,1.0
skateboard,0.631,1.0
surfboard,0.737,1.0
tennis racket,0.084,1.0
bottle,0.566,1.0
wine glass,0.426,1.0
cup,-0.33,1.0
fork,0.303,1.0
knife,0.322,1.0
spoon,0.088,1.0
bowl,0.006,1.0
banana,0.159,1.0
apple,-0.107,1.0
sandwich,0.374,1.0
orange,-0.251,1.0
broccoli,-0.182,1.0
carrot,-0.246,1.0
hot dog,-0.032,1.0
pizza,0.39,1.0
donut,-0.482,1.0
cake,0.382,1.0
chair,-0.178,1.0
couch,0.305,1.0
potted plant,0.314,1.0
bed,0.415,1.0
dining table,0.085,1.0
toilet,0.307,1.0
tv,0.247,1.0
laptop,-0.102,1.0
mouse,-0.19,1.0
remote,-0.192,1.0
keyboard,-0.297,1.0
cell phone,0.72,1.0
microwave,0.104,1.0
oven,0.266,1.0
toaster,-0.052,1.0
sink,0.193,1.0
refrigerator,0.274,1.0
book,0.266,1.0
clock,0.744,1.0
vase,0.015,1.0
scissors,0.495,1.0
teddy bear,0.599,1.0
hair drier,0.188,1.0
toothbrush,0.593,1.0
#,-0.26,0.0
$,0.165,0.0
US$,0.288,0.0
C$,0.153,0.0
'',0.825,0.0
",",-0.213,0.0
Wa,0.606,0.0
.,0.075,0.0
?,-0.127,0.0
!,0.229,0.0
--,0.307,0.0
;,-0.673,0.0
:,-0.546,0.0
...,0.49,0.0
-,0.346,0.0
and,-0.513,0.0
or,0.302,0.0
But,0.009,0.0
but,0.009,0.0
million,0.263,-0.5
billion,0.514,-0.5
one,-0.368,0.0
two,-0.224,0.0
10,0.06,0.0
the,-0.535,0.0
a,-0.342,0.0
The,-0.535,0.0
an,-0.375,0.0
this,-0.424,0.0
there,-0.376,0.0
There,-0.376,0.0
Perestroika,0.088,-0.9
besuboru,-0.746,0.0
de,-0.45,0.0
etc.,0.037,0.0
of,-0.63,0.0
for,0.183,0.0
on,-0.119,0.0
new,-0.177,0.0
other,-0.424,0.0
last,-0.063,0.0
many,-0.048,-0.5
higher,-0.269,-0.6
lower,-0.305,-0.6
largest,-0.549,-0.6
least,-0.068,-0.6
latest,0.099,-0.6
best,-0.894,-0.9
1,-0.311,0.0
2,0.006,0.0
3,-0.09,0.0
4,0.268,0.9
5,0.246,0.9
will,0.313,-0.7
would,0.092,-0.7
could,0.308,-0.7
can,0.385,-0.7
may,-0.622,-0.7
%,-0.345,0.9
company,-0.044,0.1
year,-0.228,0.4
market,0.176,0.2
trading,0.419,0.3
Mr.,0.004,0.5
U.S.,-0.299,0.7
New,-0.177,0.4
Corp.,-0.078,0.6
York,-0.199,0.4
Containers,0.195,0.9
Securities,0.671,0.8
Industries,0.36,0.9
Materials,0.236,0.9
Soviets,-0.204,0.6
years,0.106,0.4
shares,0.766,0.6
prices,0.139,0.7
cents,0.135,0.9
funds,-0.189,0.5
all,-0.348,-0.7
such,-0.402,-0.7
half,0.543,0.5
Such,-0.402,0.0
All,-0.348,0.0
',0.723,0.0
it,-0.111,0.0
he,0.086,0.0
they,0.142,0.0
I,0.297,0.0
It,-0.111,0.0
its,-0.598,0.0
their,-0.074,0.0
his,0.024,0.0
her,0.02,0.0
our,0.282,0.0
n't,0.205,0.0
also,-0.451,0.0
not,0.08,0.0
only,-0.454,0.0
even,-0.524,0.0
more,0.176,-0.2
earlier,-0.319,-0.2
less,0.045,-0.2
better,0.008,-0.2
longer,0.452,-0.2
most,-0.512,-0.2
Most,-0.512,-0.2
up,-0.138,0.0
out,-0.112,0.0
off,0.078,0.0
in,-0.866,0.0
down,-0.45,0.0
&,-0.082,0.0
to,-0.197,0.0
To,-0.197,0.0
TO,-0.197,0.0
OK,-0.137,0.0
Oh,-0.071,0.0
no,-0.336,0.0
be,0.588,-0.2
make,0.303,-0.2
buy,0.386,0.8
take,-0.26,0.4
said,0.211,0.0
was,-0.108,-0.2
were,0.198,-0.2
had,0.283,-0.2
did,0.339,-0.2
including,-0.103,-0.4
according,0.392,-0.4
being,-0.056,-0.4
growing,-0.19,-0.4
trying,0.06,-0.4
been,0.31,-0.2
expected,0.039,-0.6
made,0.069,0.0
compared,0.159,-0.6
based,0.38,-0.6
are,-0.078,-0.2
have,0.164,-0.2
say,0.247,0.0
do,0.099,-0.2
're,0.515,0.0
is,-0.253,0.0
has,-0.03,0.0
says,0.259,0.0
's,0.11,0.0
does,0.037,0.0
which,-0.207,0.0
that,-0.403,0.0
That,-0.403,0.0
THAT,-0.403,0.0
who,-0.521,0.0
what,-0.062,0.0
What,-0.062,0.0
whom,-0.519,0.0
Who,-0.521,0.0
whose,-0.435,0.0
when,-0.968,0.0
where,-0.486,0.0
how,-0.617,0.0
When,-0.968,0.0
why,-0.238,0.0
``,0.588,0.0
`,0.52,0.0
